iter	RMSE
0	0.1353784291
1	0.1310300868
2	0.127116193
3	0.1238918189
4	0.1212005035
5	0.1188735817
6	0.1169217773
7	0.1153218685
8	0.1138930429
9	0.1126835953
10	0.111693789
11	0.1108143183
12	0.1100726993
13	0.109421954
14	0.108955121
15	0.1085108368
16	0.1081076677
17	0.1077292071
18	0.1073798278
19	0.1070886403
20	0.1068039589
21	0.1065990819
22	0.106417128
23	0.106217418
24	0.1060455751
25	0.105864568
26	0.1057250196
27	0.1056233958
28	0.1055314757
29	0.1054254736
30	0.1053415432
31	0.1052040842
32	0.1051329578
33	0.105031191
34	0.1049493216
35	0.104881493
36	0.1048008145
37	0.1047327109
38	0.1046777247
39	0.1045639545
40	0.1045024925
41	0.1044395684
42	0.1043692287
43	0.1042377588
44	0.1041686614
45	0.1040794806
46	0.1039532136
47	0.1038788008
48	0.103825516
49	0.1037675928
50	0.1036863426
51	0.1036028726
52	0.1035507316
53	0.1034699922
54	0.1033931734
55	0.1033623338
56	0.1033248652
57	0.1032650868
58	0.1032270674
59	0.103152725
60	0.1031182719
61	0.1030723574
62	0.1030341665
63	0.1029840295
64	0.102946811
65	0.1029016294
66	0.1028638232
67	0.1028214437
68	0.1027655247
69	0.1027384338
70	0.1026859832
71	0.1025986991
72	0.1025639045
73	0.1025336263
74	0.102471968
75	0.1024438135
76	0.1024143771
77	0.1023599366
78	0.1023147734
79	0.1022671116
80	0.1022072244
81	0.1021862928
82	0.1021562675
83	0.1021196906
84	0.1020839428
85	0.1019990388
86	0.1019709355
87	0.1019478719
88	0.1019039183
89	0.1018810411
90	0.1018125377
91	0.1017933498
92	0.1017659071
93	0.1017115999
94	0.1016780563
95	0.1016437465
96	0.1016054131
97	0.1015620246
98	0.1015156822
99	0.1014901356
100	0.101452244
101	0.1014111567
102	0.1013667664
103	0.1013391262
104	0.101265728
105	0.1012203907
106	0.101190503
107	0.1011595629
108	0.1011378003
109	0.1011091913
110	0.1010839087
111	0.101014057
112	0.1009676929
113	0.1009238558
114	0.1008942547
115	0.1008541512
116	0.1007880623
117	0.1007350389
118	0.1006881906
119	0.1006689957
120	0.1006398271
121	0.1006116377
122	0.1005841194
123	0.1005516732
124	0.1005310256
125	0.1005045167
126	0.1004543884
127	0.1004343647
128	0.1003822669
129	0.100339143
130	0.1003037323
131	0.1002392907
132	0.1002037582
133	0.1001882566
134	0.1001465403
135	0.1001319892
136	0.1000894051
137	0.1000746353
138	0.1000609871
139	0.1000309706
140	0.1000001894
141	0.09998814725
142	0.09995472711
143	0.09990549169
144	0.09986983604
145	0.09983590248
146	0.09978804031
147	0.09976680203
148	0.09972960754
149	0.0996885969
150	0.0996424006
151	0.09959809682
152	0.09957923023
153	0.09953143438
154	0.09950642497
155	0.09945568401
156	0.09942887862
157	0.09938622871
158	0.09932570912
159	0.0993031894
160	0.09925690375
161	0.09921874144
162	0.09917937779
163	0.0991605594
164	0.09912731815
165	0.09908569641
166	0.09906604078
167	0.09904608786
168	0.09902947494
169	0.09898764284
170	0.0989502886
171	0.09892429528
172	0.09890093688
173	0.09886075012
174	0.09882774154
175	0.0988082971
176	0.09878984697
177	0.09876280907
178	0.09871794245
179	0.09869368844
180	0.09865436402
181	0.09860332081
182	0.09858704464
183	0.0985484682
184	0.09852629763
185	0.09847082677
186	0.09842054255
187	0.09838888271
188	0.09834264015
189	0.09829774137
190	0.09826163113
191	0.09822372694
192	0.09817971719
193	0.09816754241
194	0.09815257455
195	0.09812146753
196	0.09807289336
197	0.09803289004
198	0.09799149837
199	0.09798290972
200	0.09796647495
201	0.09793590818
202	0.09788718733
203	0.0978543532
204	0.09783933967
205	0.09781034677
206	0.09775064637
207	0.09771017931
208	0.09769652491
209	0.09768511232
210	0.09765899839
211	0.09762494333
212	0.09759574046
213	0.09756171823
214	0.09753283152
215	0.09750150766
216	0.09748035115
217	0.09744413692
218	0.09739052404
219	0.09736423959
220	0.09734906552
221	0.09731567736
222	0.09726958073
223	0.09723940605
224	0.0972265887
225	0.09721378373
226	0.09716506476
227	0.0971308601
228	0.09711888988
229	0.0970790958
230	0.09704088992
231	0.09699729026
232	0.09698151291
233	0.09696814565
234	0.09690926505
235	0.0968950075
236	0.09685209886
237	0.09680855223
238	0.09679488455
239	0.09676985278
240	0.09673069863
241	0.09668307139
242	0.09664441451
243	0.09662357276
244	0.09659441251
245	0.09653681768
246	0.09652812616
247	0.09649532901
248	0.09646257451
249	0.09643949972
250	0.09639835389
251	0.09639005237
252	0.09636177991
253	0.09626960813
254	0.09622218741
255	0.09618976752
256	0.09614326911
257	0.09612704254
258	0.09610371172
259	0.09605780532
260	0.09603334107
261	0.09599807086
262	0.09597942541
263	0.09594265631
264	0.09593242486
265	0.09590784798
266	0.09586453195
267	0.09583456433
268	0.09578590998
269	0.09577781487
270	0.09574168033
271	0.09572864837
272	0.0956948867
273	0.09566829441
274	0.09564779093
275	0.09563309964
276	0.09562578201
277	0.09556973825
278	0.09554042574
279	0.09551172324
280	0.09546790133
281	0.09541907722
282	0.09538732599
283	0.09537448974
284	0.09535774736
285	0.09534999905
286	0.09532104318
287	0.09531352404
288	0.09527737502
289	0.09525480898
290	0.09522622451
291	0.09520194055
292	0.09517011619
293	0.095161029
294	0.09511552593
295	0.09510521716
296	0.09509294675
297	0.09506698256
298	0.09503066554
299	0.09501639565
